# Region type : faceZone InSurface
# Faces  :    2454
# Area   :    1.018735e+02
# Time        	areaAverage(surfaceInterpolate(p))
100           	3.137603e-01
100.2         	3.137603e-01
100.4         	3.137603e-01
100.6         	3.137603e-01
100.8         	3.137603e-01
101           	3.138913e-01
101.2         	3.138913e-01
101.4         	3.138913e-01
101.6         	3.138913e-01
101.8         	3.138913e-01
102           	3.139675e-01
102.2         	3.139675e-01
102.4         	3.139675e-01
102.6         	3.139675e-01
102.8         	3.139675e-01
103           	3.141697e-01
103.2         	3.141697e-01
103.4         	3.141697e-01
103.6         	3.141697e-01
103.8         	3.141697e-01
104           	3.142587e-01
104.2         	3.142587e-01
104.4         	3.142587e-01
104.6         	3.142587e-01
104.8         	3.142587e-01
105           	3.144808e-01
105.2         	3.144808e-01
105.4         	3.144808e-01
105.6         	3.144808e-01
105.8         	3.144808e-01
106           	3.146043e-01
106.2         	3.146043e-01
106.4         	3.146043e-01
106.6         	3.146043e-01
106.8         	3.146043e-01
107           	3.147849e-01
107.2         	3.147849e-01
107.4         	3.147849e-01
107.6         	3.147849e-01
107.8         	3.147849e-01
108           	3.148358e-01
108.2         	3.148358e-01
108.4         	3.148358e-01
108.6         	3.148358e-01
108.8         	3.148358e-01
109           	3.150874e-01
109.2         	3.150874e-01
109.4         	3.150874e-01
109.6         	3.150874e-01
109.8         	3.150874e-01
110           	3.152503e-01
110.2         	3.152503e-01
110.4         	3.152503e-01
110.6         	3.152503e-01
110.8         	3.152503e-01
111           	3.154109e-01
111.2         	3.154109e-01
111.4         	3.154109e-01
111.6         	3.154109e-01
111.8         	3.154109e-01
112           	3.155760e-01
112.2         	3.155760e-01
112.4         	3.155760e-01
112.6         	3.155760e-01
112.8         	3.155760e-01
113           	3.157265e-01
113.2         	3.157265e-01
113.4         	3.157265e-01
113.6         	3.157265e-01
113.8         	3.157265e-01
114           	3.158839e-01
114.2         	3.158839e-01
114.4         	3.158839e-01
114.6         	3.158839e-01
114.8         	3.158839e-01
115           	3.160320e-01
115.2         	3.160320e-01
115.4         	3.160320e-01
115.6         	3.160320e-01
115.8         	3.160320e-01
116           	3.161908e-01
116.2         	3.161908e-01
116.4         	3.161908e-01
116.6         	3.161908e-01
116.8         	3.161908e-01
117           	3.163230e-01
117.2         	3.163230e-01
117.4         	3.163230e-01
117.6         	3.163230e-01
117.8         	3.163230e-01
118           	3.164865e-01
118.2         	3.164865e-01
118.4         	3.164865e-01
118.6         	3.164865e-01
118.8         	3.164865e-01
119           	3.166289e-01
119.2         	3.166289e-01
119.4         	3.166289e-01
119.6         	3.166289e-01
119.8         	3.166289e-01
120           	3.168089e-01
120.2         	3.168089e-01
120.4         	3.168089e-01
120.6         	3.168089e-01
120.8         	3.168089e-01
121           	3.169660e-01
121.2         	3.169660e-01
121.4         	3.169660e-01
121.6         	3.169660e-01
121.8         	3.169660e-01
122           	3.170930e-01
122.2         	3.170930e-01
122.4         	3.170930e-01
122.6         	3.170930e-01
122.8         	3.170930e-01
123           	3.172559e-01
123.2         	3.172559e-01
123.4         	3.172559e-01
123.6         	3.172559e-01
123.8         	3.172559e-01
124           	3.173822e-01
124.2         	3.173822e-01
124.4         	3.173822e-01
124.6         	3.173822e-01
124.8         	3.173822e-01
125           	3.175175e-01
125.2         	3.175175e-01
125.4         	3.175175e-01
125.6         	3.175175e-01
