# Region type : faceZone InSurface
# Faces  :    590
# Area   :    6.238624e+01
# Time        	areaAverage(surfaceInterpolate(p))
300           	2.646101e-01
300.2         	2.646101e-01
300.4         	2.646101e-01
300.6         	2.646101e-01
300.8         	2.646101e-01
301           	2.648493e-01
301.2         	2.648493e-01
301.4         	2.648493e-01
301.6         	2.648493e-01
301.8         	2.648493e-01
302           	2.650714e-01
302.2         	2.650714e-01
302.4         	2.650714e-01
302.6         	2.650714e-01
302.8         	2.650714e-01
303           	2.652829e-01
303.2         	2.652829e-01
303.4         	2.652829e-01
303.6         	2.652829e-01
303.8         	2.652829e-01
304           	2.654843e-01
304.2         	2.654843e-01
304.4         	2.654843e-01
304.6         	2.654843e-01
304.8         	2.654843e-01
305           	2.656777e-01
305.2         	2.656777e-01
305.4         	2.656777e-01
305.6         	2.656777e-01
305.8         	2.656777e-01
306           	2.658622e-01
306.2         	2.658622e-01
306.4         	2.658622e-01
306.6         	2.658622e-01
306.8         	2.658622e-01
307           	2.660458e-01
307.2         	2.660458e-01
307.4         	2.660458e-01
307.6         	2.660458e-01
307.8         	2.660458e-01
308           	2.662313e-01
308.2         	2.662313e-01
308.4         	2.662313e-01
308.6         	2.662313e-01
308.8         	2.662313e-01
309           	2.664197e-01
309.2         	2.664197e-01
309.4         	2.664197e-01
309.6         	2.664197e-01
309.8         	2.664197e-01
310           	2.666169e-01
310.2         	2.666169e-01
310.4         	2.666169e-01
310.6         	2.666169e-01
310.8         	2.666169e-01
311           	2.668204e-01
311.2         	2.668204e-01
311.4         	2.668204e-01
311.6         	2.668204e-01
311.8         	2.668204e-01
312           	2.670373e-01
312.2         	2.670373e-01
312.4         	2.670373e-01
312.6         	2.670373e-01
312.8         	2.670373e-01
313           	2.672674e-01
313.2         	2.672674e-01
313.4         	2.672674e-01
313.6         	2.672674e-01
313.8         	2.672674e-01
314           	2.675132e-01
314.2         	2.675132e-01
314.4         	2.675132e-01
314.6         	2.675132e-01
314.8         	2.675132e-01
315           	2.677755e-01
315.2         	2.677755e-01
315.4         	2.677755e-01
315.6         	2.677755e-01
315.8         	2.677755e-01
316           	2.680569e-01
316.2         	2.680569e-01
316.4         	2.680569e-01
316.6         	2.680569e-01
316.8         	2.680569e-01
317           	2.683574e-01
317.2         	2.683574e-01
317.4         	2.683574e-01
317.6         	2.683574e-01
317.8         	2.683574e-01
318           	2.686764e-01
318.2         	2.686764e-01
318.4         	2.686764e-01
318.6         	2.686764e-01
318.8         	2.686764e-01
319           	2.690134e-01
319.2         	2.690134e-01
319.4         	2.690134e-01
319.6         	2.690134e-01
319.8         	2.690134e-01
320           	2.693687e-01
320.2         	2.693687e-01
320.4         	2.693687e-01
320.6         	2.693687e-01
320.8         	2.693687e-01
321           	2.697413e-01
321.2         	2.697413e-01
321.4         	2.697413e-01
321.6         	2.697413e-01
321.8         	2.697413e-01
322           	2.701283e-01
322.2         	2.701283e-01
322.4         	2.701283e-01
322.6         	2.701283e-01
322.8         	2.701283e-01
323           	2.705304e-01
323.2         	2.705304e-01
323.4         	2.705304e-01
323.6         	2.705304e-01
323.8         	2.705304e-01
324           	2.709440e-01
324.2         	2.709440e-01
324.4         	2.709440e-01
