# Region type : faceZone InSurface
# Faces  :    2454
# Area   :    1.018735e+02
# Time        	areaAverage(surfaceInterpolate(mag(U)))
100           	6.817028e-01
100.2         	6.817028e-01
100.4         	6.817028e-01
100.6         	6.817028e-01
100.8         	6.817028e-01
101           	6.815905e-01
101.2         	6.815905e-01
101.4         	6.815905e-01
101.6         	6.815905e-01
101.8         	6.815905e-01
102           	6.814824e-01
102.2         	6.814824e-01
102.4         	6.814824e-01
102.6         	6.814824e-01
102.8         	6.814824e-01
103           	6.813844e-01
103.2         	6.813844e-01
103.4         	6.813844e-01
103.6         	6.813844e-01
103.8         	6.813844e-01
104           	6.812964e-01
104.2         	6.812964e-01
104.4         	6.812964e-01
104.6         	6.812964e-01
104.8         	6.812964e-01
105           	6.812096e-01
105.2         	6.812096e-01
105.4         	6.812096e-01
105.6         	6.812096e-01
105.8         	6.812096e-01
106           	6.811162e-01
106.2         	6.811162e-01
106.4         	6.811162e-01
106.6         	6.811162e-01
106.8         	6.811162e-01
107           	6.810163e-01
107.2         	6.810163e-01
107.4         	6.810163e-01
107.6         	6.810163e-01
107.8         	6.810163e-01
108           	6.809154e-01
108.2         	6.809154e-01
108.4         	6.809154e-01
108.6         	6.809154e-01
108.8         	6.809154e-01
109           	6.808149e-01
109.2         	6.808149e-01
109.4         	6.808149e-01
109.6         	6.808149e-01
109.8         	6.808149e-01
110           	6.807150e-01
110.2         	6.807150e-01
110.4         	6.807150e-01
110.6         	6.807150e-01
110.8         	6.807150e-01
111           	6.806152e-01
111.2         	6.806152e-01
111.4         	6.806152e-01
111.6         	6.806152e-01
111.8         	6.806152e-01
112           	6.805164e-01
112.2         	6.805164e-01
112.4         	6.805164e-01
112.6         	6.805164e-01
112.8         	6.805164e-01
113           	6.804206e-01
113.2         	6.804206e-01
113.4         	6.804206e-01
113.6         	6.804206e-01
113.8         	6.804206e-01
114           	6.803280e-01
114.2         	6.803280e-01
114.4         	6.803280e-01
114.6         	6.803280e-01
114.8         	6.803280e-01
115           	6.802338e-01
115.2         	6.802338e-01
115.4         	6.802338e-01
115.6         	6.802338e-01
115.8         	6.802338e-01
116           	6.801407e-01
116.2         	6.801407e-01
116.4         	6.801407e-01
116.6         	6.801407e-01
116.8         	6.801407e-01
117           	6.800481e-01
117.2         	6.800481e-01
117.4         	6.800481e-01
117.6         	6.800481e-01
117.8         	6.800481e-01
118           	6.799585e-01
118.2         	6.799585e-01
118.4         	6.799585e-01
118.6         	6.799585e-01
118.8         	6.799585e-01
119           	6.798682e-01
119.2         	6.798682e-01
119.4         	6.798682e-01
119.6         	6.798682e-01
119.8         	6.798682e-01
120           	6.797779e-01
120.2         	6.797779e-01
120.4         	6.797779e-01
120.6         	6.797779e-01
120.8         	6.797779e-01
121           	6.796884e-01
121.2         	6.796884e-01
121.4         	6.796884e-01
121.6         	6.796884e-01
121.8         	6.796884e-01
122           	6.795995e-01
122.2         	6.795995e-01
122.4         	6.795995e-01
122.6         	6.795995e-01
122.8         	6.795995e-01
123           	6.795128e-01
123.2         	6.795128e-01
123.4         	6.795128e-01
123.6         	6.795128e-01
123.8         	6.795128e-01
124           	6.794297e-01
124.2         	6.794297e-01
124.4         	6.794297e-01
124.6         	6.794297e-01
124.8         	6.794297e-01
125           	6.793490e-01
125.2         	6.793490e-01
125.4         	6.793490e-01
125.6         	6.793490e-01
125.8         	6.793490e-01
126           	6.792697e-01
126.2         	6.792697e-01
126.4         	6.792697e-01
126.6         	6.792697e-01
126.8         	6.792697e-01
127           	6.791923e-01
127.2         	6.791923e-01
127.4         	6.791923e-01
127.6         	6.791923e-01
127.8         	6.791923e-01
128           	6.791151e-01
128.2         	6.791151e-01
128.4         	6.791151e-01
128.6         	6.791151e-01
128.8         	6.791151e-01
129           	6.790358e-01
129.2         	6.790358e-01
129.4         	6.790358e-01
129.6         	6.790358e-01
129.8         	6.790358e-01
130           	6.789535e-01
130.2         	6.789535e-01
130.4         	6.789535e-01
130.6         	6.789535e-01
130.8         	6.789535e-01
131           	6.788734e-01
131.2         	6.788734e-01
131.4         	6.788734e-01
131.6         	6.788734e-01
131.8         	6.788734e-01
132           	6.787953e-01
132.2         	6.787953e-01
132.4         	6.787953e-01
132.6         	6.787953e-01
132.8         	6.787953e-01
133           	6.787206e-01
133.2         	6.787206e-01
133.4         	6.787206e-01
133.6         	6.787206e-01
133.8         	6.787206e-01
134           	6.786484e-01
134.2         	6.786484e-01
134.4         	6.786484e-01
134.6         	6.786484e-01
134.8         	6.786484e-01
135           	6.785786e-01
135.2         	6.785786e-01
135.4         	6.785786e-01
135.6         	6.785786e-01
135.8         	6.785786e-01
136           	6.785101e-01
136.2         	6.785101e-01
136.4         	6.785101e-01
136.6         	6.785101e-01
136.8         	6.785101e-01
137           	6.784416e-01
137.2         	6.784416e-01
137.4         	6.784416e-01
137.6         	6.784416e-01
137.8         	6.784416e-01
138           	6.783715e-01
138.2         	6.783715e-01
138.4         	6.783715e-01
138.6         	6.783715e-01
138.8         	6.783715e-01
139           	6.782991e-01
139.2         	6.782991e-01
139.4         	6.782991e-01
139.6         	6.782991e-01
139.8         	6.782991e-01
140           	6.782258e-01
140.2         	6.782258e-01
140.4         	6.782258e-01
140.6         	6.782258e-01
140.8         	6.782258e-01
141           	6.781540e-01
141.2         	6.781540e-01
141.4         	6.781540e-01
141.6         	6.781540e-01
141.8         	6.781540e-01
142           	6.780856e-01
142.2         	6.780856e-01
142.4         	6.780856e-01
142.6         	6.780856e-01
142.8         	6.780856e-01
143           	6.780181e-01
143.2         	6.780181e-01
143.4         	6.780181e-01
143.6         	6.780181e-01
143.8         	6.780181e-01
144           	6.779498e-01
144.2         	6.779498e-01
144.4         	6.779498e-01
144.6         	6.779498e-01
144.8         	6.779498e-01
145           	6.778823e-01
145.2         	6.778823e-01
145.4         	6.778823e-01
145.6         	6.778823e-01
145.8         	6.778823e-01
146           	6.778149e-01
146.2         	6.778149e-01
146.4         	6.778149e-01
146.6         	6.778149e-01
146.8         	6.778149e-01
147           	6.777479e-01
147.2         	6.777479e-01
147.4         	6.777479e-01
147.6         	6.777479e-01
147.8         	6.777479e-01
148           	6.776828e-01
148.2         	6.776828e-01
148.4         	6.776828e-01
148.6         	6.776828e-01
148.8         	6.776828e-01
149           	6.776220e-01
149.2         	6.776220e-01
149.4         	6.776220e-01
149.6         	6.776220e-01
149.8         	6.776220e-01
150           	6.775649e-01
150.2         	6.775649e-01
150.4         	6.775649e-01
150.6         	6.775649e-01
150.8         	6.775649e-01
151           	6.775088e-01
151.2         	6.775088e-01
151.4         	6.775088e-01
151.6         	6.775088e-01
151.8         	6.775088e-01
152           	6.774522e-01
152.2         	6.774522e-01
152.4         	6.774522e-01
152.6         	6.774522e-01
152.8         	6.774522e-01
153           	6.773939e-01
153.2         	6.773939e-01
153.4         	6.773939e-01
153.6         	6.773939e-01
153.8         	6.773939e-01
154           	6.773363e-01
154.2         	6.773363e-01
154.4         	6.773363e-01
154.6         	6.773363e-01
154.8         	6.773363e-01
155           	6.772804e-01
155.2         	6.772804e-01
155.4         	6.772804e-01
155.6         	6.772804e-01
155.8         	6.772804e-01
156           	6.772238e-01
156.2         	6.772238e-01
156.4         	6.772238e-01
156.6         	6.772238e-01
156.8         	6.772238e-01
157           	6.771625e-01
157.2         	6.771625e-01
157.4         	6.771625e-01
157.6         	6.771625e-01
157.8         	6.771625e-01
158           	6.770972e-01
158.2         	6.770972e-01
158.4         	6.770972e-01
158.6         	6.770972e-01
158.8         	6.770972e-01
159           	6.770324e-01
159.2         	6.770324e-01
159.4         	6.770324e-01
159.6         	6.770324e-01
159.8         	6.770324e-01
