# Region type : faceZone InSurface
# Faces  :    590
# Area   :    6.238624e+01
# Time        	areaAverage(surfaceInterpolate(mag(U)))
300           	7.896426e-01
300.2         	7.896426e-01
300.4         	7.896426e-01
300.6         	7.896426e-01
300.8         	7.896426e-01
301           	7.895675e-01
301.2         	7.895675e-01
301.4         	7.895675e-01
301.6         	7.895675e-01
301.8         	7.895675e-01
302           	7.894926e-01
302.2         	7.894926e-01
302.4         	7.894926e-01
302.6         	7.894926e-01
302.8         	7.894926e-01
303           	7.894180e-01
303.2         	7.894180e-01
303.4         	7.894180e-01
303.6         	7.894180e-01
303.8         	7.894180e-01
304           	7.893439e-01
304.2         	7.893439e-01
304.4         	7.893439e-01
304.6         	7.893439e-01
304.8         	7.893439e-01
305           	7.892702e-01
305.2         	7.892702e-01
305.4         	7.892702e-01
305.6         	7.892702e-01
305.8         	7.892702e-01
306           	7.891971e-01
306.2         	7.891971e-01
306.4         	7.891971e-01
306.6         	7.891971e-01
306.8         	7.891971e-01
307           	7.891245e-01
307.2         	7.891245e-01
307.4         	7.891245e-01
307.6         	7.891245e-01
307.8         	7.891245e-01
308           	7.890525e-01
308.2         	7.890525e-01
308.4         	7.890525e-01
308.6         	7.890525e-01
308.8         	7.890525e-01
309           	7.889809e-01
309.2         	7.889809e-01
309.4         	7.889809e-01
309.6         	7.889809e-01
309.8         	7.889809e-01
310           	7.889098e-01
310.2         	7.889098e-01
310.4         	7.889098e-01
310.6         	7.889098e-01
310.8         	7.889098e-01
311           	7.888391e-01
311.2         	7.888391e-01
311.4         	7.888391e-01
311.6         	7.888391e-01
311.8         	7.888391e-01
312           	7.887686e-01
312.2         	7.887686e-01
312.4         	7.887686e-01
312.6         	7.887686e-01
312.8         	7.887686e-01
313           	7.886983e-01
313.2         	7.886983e-01
313.4         	7.886983e-01
313.6         	7.886983e-01
313.8         	7.886983e-01
314           	7.886281e-01
314.2         	7.886281e-01
314.4         	7.886281e-01
314.6         	7.886281e-01
314.8         	7.886281e-01
315           	7.885577e-01
315.2         	7.885577e-01
315.4         	7.885577e-01
315.6         	7.885577e-01
315.8         	7.885577e-01
316           	7.884871e-01
316.2         	7.884871e-01
316.4         	7.884871e-01
316.6         	7.884871e-01
316.8         	7.884871e-01
317           	7.884162e-01
317.2         	7.884162e-01
317.4         	7.884162e-01
317.6         	7.884162e-01
317.8         	7.884162e-01
318           	7.883447e-01
318.2         	7.883447e-01
318.4         	7.883447e-01
318.6         	7.883447e-01
318.8         	7.883447e-01
319           	7.882726e-01
319.2         	7.882726e-01
