# Region type : faceZone OutSurface
# Faces  :    339
# Area   :    3.219671e+01
# Time        	areaAverage(surfaceInterpolate(p))
200           	-1.620285e-01
200.2         	-1.620285e-01
200.4         	-1.620285e-01
200.6         	-1.620285e-01
200.8         	-1.620285e-01
201           	-1.617418e-01
201.2         	-1.617418e-01
201.4         	-1.617418e-01
201.6         	-1.617418e-01
201.8         	-1.617418e-01
202           	-1.614702e-01
202.2         	-1.614702e-01
202.4         	-1.614702e-01
202.6         	-1.614702e-01
202.8         	-1.614702e-01
203           	-1.612055e-01
203.2         	-1.612055e-01
203.4         	-1.612055e-01
203.6         	-1.612055e-01
203.8         	-1.612055e-01
204           	-1.609246e-01
204.2         	-1.609246e-01
204.4         	-1.609246e-01
204.6         	-1.609246e-01
204.8         	-1.609246e-01
205           	-1.606137e-01
205.2         	-1.606137e-01
205.4         	-1.606137e-01
205.6         	-1.606137e-01
205.8         	-1.606137e-01
206           	-1.603100e-01
206.2         	-1.603100e-01
206.4         	-1.603100e-01
206.6         	-1.603100e-01
206.8         	-1.603100e-01
207           	-1.599941e-01
207.2         	-1.599941e-01
207.4         	-1.599941e-01
207.6         	-1.599941e-01
207.8         	-1.599941e-01
208           	-1.596643e-01
208.2         	-1.596643e-01
208.4         	-1.596643e-01
208.6         	-1.596643e-01
208.8         	-1.596643e-01
209           	-1.593049e-01
209.2         	-1.593049e-01
209.4         	-1.593049e-01
209.6         	-1.593049e-01
209.8         	-1.593049e-01
210           	-1.589558e-01
210.2         	-1.589558e-01
210.4         	-1.589558e-01
210.6         	-1.589558e-01
210.8         	-1.589558e-01
211           	-1.584048e-01
211.2         	-1.584048e-01
211.4         	-1.584048e-01
211.6         	-1.584048e-01
211.8         	-1.584048e-01
212           	-1.581330e-01
212.2         	-1.581330e-01
212.4         	-1.581330e-01
212.6         	-1.581330e-01
212.8         	-1.581330e-01
213           	-1.577182e-01
213.2         	-1.577182e-01
213.4         	-1.577182e-01
213.6         	-1.577182e-01
213.8         	-1.577182e-01
214           	-1.572860e-01
214.2         	-1.572860e-01
214.4         	-1.572860e-01
214.6         	-1.572860e-01
214.8         	-1.572860e-01
215           	-1.568532e-01
215.2         	-1.568532e-01
215.4         	-1.568532e-01
215.6         	-1.568532e-01
215.8         	-1.568532e-01
216           	-1.564056e-01
216.2         	-1.564056e-01
216.4         	-1.564056e-01
216.6         	-1.564056e-01
216.8         	-1.564056e-01
217           	-1.559962e-01
217.2         	-1.559962e-01
217.4         	-1.559962e-01
217.6         	-1.559962e-01
217.8         	-1.559962e-01
218           	-1.555893e-01
218.2         	-1.555893e-01
218.4         	-1.555893e-01
218.6         	-1.555893e-01
218.8         	-1.555893e-01
219           	-1.552012e-01
219.2         	-1.552012e-01
219.4         	-1.552012e-01
219.6         	-1.552012e-01
219.8         	-1.552012e-01
220           	-1.548304e-01
220.2         	-1.548304e-01
220.4         	-1.548304e-01
220.6         	-1.548304e-01
220.8         	-1.548304e-01
221           	-1.545116e-01
221.2         	-1.545116e-01
221.4         	-1.545116e-01
221.6         	-1.545116e-01
221.8         	-1.545116e-01
222           	-1.542059e-01
222.2         	-1.542059e-01
222.4         	-1.542059e-01
222.6         	-1.542059e-01
222.8         	-1.542059e-01
223           	-1.539216e-01
223.2         	-1.539216e-01
223.4         	-1.539216e-01
223.6         	-1.539216e-01
223.8         	-1.539216e-01
224           	-1.536929e-01
224.2         	-1.536929e-01
224.4         	-1.536929e-01
224.6         	-1.536929e-01
224.8         	-1.536929e-01
225           	-1.534793e-01
225.2         	-1.534793e-01
225.4         	-1.534793e-01
225.6         	-1.534793e-01
225.8         	-1.534793e-01
226           	-1.532771e-01
226.2         	-1.532771e-01
226.4         	-1.532771e-01
226.6         	-1.532771e-01
226.8         	-1.532771e-01
227           	-1.530667e-01
227.2         	-1.530667e-01
227.4         	-1.530667e-01
227.6         	-1.530667e-01
227.8         	-1.530667e-01
228           	-1.528812e-01
228.2         	-1.528812e-01
228.4         	-1.528812e-01
228.6         	-1.528812e-01
228.8         	-1.528812e-01
229           	-1.526816e-01
229.2         	-1.526816e-01
229.4         	-1.526816e-01
229.6         	-1.526816e-01
229.8         	-1.526816e-01
230           	-1.524711e-01
230.2         	-1.524711e-01
230.4         	-1.524711e-01
230.6         	-1.524711e-01
230.8         	-1.524711e-01
231           	-1.522400e-01
231.2         	-1.522400e-01
231.4         	-1.522400e-01
231.6         	-1.522400e-01
231.8         	-1.522400e-01
232           	-1.519980e-01
232.2         	-1.519980e-01
232.4         	-1.519980e-01
232.6         	-1.519980e-01
232.8         	-1.519980e-01
233           	-1.517258e-01
233.2         	-1.517258e-01
