# Region type : faceZone OutSurface
# Faces  :    339
# Area   :    3.219671e+01
# Time        	areaAverage(surfaceInterpolate(p))
300           	-1.131416e-01
300.2         	-1.131416e-01
300.4         	-1.131416e-01
300.6         	-1.131416e-01
300.8         	-1.131416e-01
301           	-1.127517e-01
301.2         	-1.127517e-01
301.4         	-1.127517e-01
301.6         	-1.127517e-01
301.8         	-1.127517e-01
302           	-1.123823e-01
302.2         	-1.123823e-01
302.4         	-1.123823e-01
302.6         	-1.123823e-01
302.8         	-1.123823e-01
303           	-1.120256e-01
303.2         	-1.120256e-01
303.4         	-1.120256e-01
303.6         	-1.120256e-01
303.8         	-1.120256e-01
304           	-1.116810e-01
304.2         	-1.116810e-01
304.4         	-1.116810e-01
304.6         	-1.116810e-01
304.8         	-1.116810e-01
305           	-1.113463e-01
305.2         	-1.113463e-01
305.4         	-1.113463e-01
305.6         	-1.113463e-01
305.8         	-1.113463e-01
306           	-1.110224e-01
306.2         	-1.110224e-01
306.4         	-1.110224e-01
306.6         	-1.110224e-01
306.8         	-1.110224e-01
307           	-1.106999e-01
307.2         	-1.106999e-01
307.4         	-1.106999e-01
307.6         	-1.106999e-01
307.8         	-1.106999e-01
308           	-1.103759e-01
308.2         	-1.103759e-01
308.4         	-1.103759e-01
308.6         	-1.103759e-01
308.8         	-1.103759e-01
309           	-1.100486e-01
309.2         	-1.100486e-01
309.4         	-1.100486e-01
309.6         	-1.100486e-01
309.8         	-1.100486e-01
310           	-1.097114e-01
310.2         	-1.097114e-01
310.4         	-1.097114e-01
310.6         	-1.097114e-01
310.8         	-1.097114e-01
311           	-1.093670e-01
311.2         	-1.093670e-01
311.4         	-1.093670e-01
311.6         	-1.093670e-01
311.8         	-1.093670e-01
312           	-1.090072e-01
312.2         	-1.090072e-01
312.4         	-1.090072e-01
312.6         	-1.090072e-01
312.8         	-1.090072e-01
313           	-1.086317e-01
313.2         	-1.086317e-01
313.4         	-1.086317e-01
313.6         	-1.086317e-01
313.8         	-1.086317e-01
314           	-1.082379e-01
314.2         	-1.082379e-01
314.4         	-1.082379e-01
314.6         	-1.082379e-01
314.8         	-1.082379e-01
315           	-1.078246e-01
315.2         	-1.078246e-01
315.4         	-1.078246e-01
315.6         	-1.078246e-01
315.8         	-1.078246e-01
316           	-1.073885e-01
316.2         	-1.073885e-01
316.4         	-1.073885e-01
316.6         	-1.073885e-01
316.8         	-1.073885e-01
317           	-1.069296e-01
317.2         	-1.069296e-01
317.4         	-1.069296e-01
317.6         	-1.069296e-01
317.8         	-1.069296e-01
318           	-1.064482e-01
318.2         	-1.064482e-01
318.4         	-1.064482e-01
318.6         	-1.064482e-01
318.8         	-1.064482e-01
319           	-1.059452e-01
319.2         	-1.059452e-01
319.4         	-1.059452e-01
319.6         	-1.059452e-01
319.8         	-1.059452e-01
320           	-1.054197e-01
320.2         	-1.054197e-01
320.4         	-1.054197e-01
320.6         	-1.054197e-01
320.8         	-1.054197e-01
321           	-1.048729e-01
321.2         	-1.048729e-01
321.4         	-1.048729e-01
321.6         	-1.048729e-01
321.8         	-1.048729e-01
322           	-1.043083e-01
322.2         	-1.043083e-01
322.4         	-1.043083e-01
322.6         	-1.043083e-01
322.8         	-1.043083e-01
323           	-1.037247e-01
323.2         	-1.037247e-01
323.4         	-1.037247e-01
323.6         	-1.037247e-01
323.8         	-1.037247e-01
324           	-1.031262e-01
324.2         	-1.031262e-01
324.4         	-1.031262e-01
324.6         	-1.031262e-01
324.8         	-1.031262e-01
325           	-1.025165e-01
325.2         	-1.025165e-01
325.4         	-1.025165e-01
325.6         	-1.025165e-01
325.8         	-1.025165e-01
326           	-1.018984e-01
326.2         	-1.018984e-01
326.4         	-1.018984e-01
326.6         	-1.018984e-01
326.8         	-1.018984e-01
327           	-1.012747e-01
327.2         	-1.012747e-01
327.4         	-1.012747e-01
327.6         	-1.012747e-01
327.8         	-1.012747e-01
328           	-1.006506e-01
328.2         	-1.006506e-01
328.4         	-1.006506e-01
328.6         	-1.006506e-01
328.8         	-1.006506e-01
329           	-1.000261e-01
329.2         	-1.000261e-01
329.4         	-1.000261e-01
329.6         	-1.000261e-01
329.8         	-1.000261e-01
330           	-9.941050e-02
330.2         	-9.941050e-02
330.4         	-9.941050e-02
330.6         	-9.941050e-02
330.8         	-9.941050e-02
331           	-9.880403e-02
331.2         	-9.880403e-02
331.4         	-9.880403e-02
331.6         	-9.880403e-02
331.8         	-9.880403e-02
332           	-9.821059e-02
332.2         	-9.821059e-02
332.4         	-9.821059e-02
332.6         	-9.821059e-02
332.8         	-9.821059e-02
333           	-9.763313e-02
333.2         	-9.763313e-02
333.4         	-9.763313e-02
333.6         	-9.763313e-02
333.8         	-9.763313e-02
334           	-9.707039e-02
334.2         	-9.707039e-02
334.4         	-9.707039e-02
334.6         	-9.707039e-02
334.8         	-9.707039e-02
335           	-9.652118e-02
335.2         	-9.652118e-02
335.4         	-9.652118e-02
335.6         	-9.652118e-02
335.8         	-9.652118e-02
336           	-9.599568e-02
336.2         	-9.599568e-02
336.4         	-9.599568e-02
336.6         	-9.599568e-02
336.8         	-9.599568e-02
337           	-9.548758e-02
337.2         	-9.548758e-02
337.4         	-9.548758e-02
337.6         	-9.548758e-02
337.8         	-9.548758e-02
