#    distance           U_x           U_y           U_z
      1.00503      0.999994  -2.13613e-06    3.5727e-07
      2.01005      0.999984   -1.0261e-06   5.05427e-07
      3.01508      0.999974  -3.25727e-06   9.89164e-07
       4.0201      0.999957   5.73403e-07   9.99174e-07
      5.02513      0.999935  -5.18036e-06   -1.2092e-06
      6.03015      0.999912  -3.43452e-06  -4.02786e-06
      7.03518       0.99988  -6.91001e-06  -5.12243e-06
       8.0402      0.999846  -9.56199e-06  -4.50146e-06
      9.04523      0.999805  -6.86455e-06  -3.87859e-07
      10.0503      0.999761  -5.22973e-06   3.08417e-07
      11.0553      0.999707  -2.31203e-06   1.25795e-07
      12.0603      0.999649  -1.21151e-05  -2.15527e-07
      13.0653      0.999577  -1.02646e-05   1.37356e-06
      14.0704      0.999507  -1.35689e-05   5.71583e-07
      15.0754      0.999427  -1.65357e-05   2.90483e-07
      16.0804      0.999334  -8.38873e-06  -6.01108e-06
      17.0854      0.999235   7.25313e-07  -9.03861e-06
      18.0905      0.999133  -1.33286e-05  -3.27082e-06
      19.0955       0.99902  -1.81835e-06  -3.02325e-06
      20.1005      0.998894  -9.65721e-06  -4.13608e-06
      21.1055      0.998766  -1.14016e-05  -8.23276e-07
      22.1106       0.99862   5.14285e-06  -6.18214e-06
      23.1156      0.998466   1.11177e-05  -6.57638e-06
      24.1206      0.998315  -1.19365e-05   8.54308e-07
      25.1256      0.998121  -6.43567e-06   1.60833e-07
      26.1307       0.99793   8.73277e-06   -1.6105e-07
      27.1357      0.997744   -1.1464e-07   1.79902e-06
      28.1407      0.997555   2.17101e-05   5.02984e-06
      29.1457      0.997319  -1.22108e-05   1.73554e-06
      30.1508      0.997085  -2.55045e-05   -1.7803e-05
      31.1558       0.99683  -3.29154e-06  -2.77971e-05
      32.1608      0.996588  -1.02064e-05  -7.73392e-06
      33.1658      0.996348   1.80285e-05   1.79294e-05
      34.1709       0.99607  -7.88051e-06   1.07346e-06
      35.1759      0.995778  -2.61192e-05  -5.18332e-05
      36.1809      0.995442   4.14389e-05  -8.32655e-05
      37.1859      0.995087   5.14412e-05   1.20887e-05
       38.191      0.994793   7.06878e-05   5.07322e-06
