# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.14000000e+00
# Aref          : 3.14000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
50              	1.42123308e-04	1.06508773e+00	-4.69035734e-01	-2.34375744e-01	-2.34659991e-01
50.002          	1.41081260e-04	1.06503708e+00	-4.69922591e-01	-2.34820214e-01	-2.35102377e-01
50.004          	1.40211078e-04	1.06526141e+00	-4.70419773e-01	-2.35069676e-01	-2.35350098e-01
50.006          	1.39344112e-04	1.06530692e+00	-4.71168452e-01	-2.35444882e-01	-2.35723570e-01
50.008          	1.38544154e-04	1.06548153e+00	-4.71944512e-01	-2.35833712e-01	-2.36110800e-01
50.01           	1.37455233e-04	1.06549416e+00	-4.72470188e-01	-2.36097639e-01	-2.36372549e-01
50.012          	1.36417817e-04	1.06552412e+00	-4.72815414e-01	-2.36271289e-01	-2.36544125e-01
50.014          	1.35786919e-04	1.06558497e+00	-4.73619698e-01	-2.36674062e-01	-2.36945636e-01
50.016          	1.35013146e-04	1.06568910e+00	-4.74445366e-01	-2.37087670e-01	-2.37357696e-01
50.018          	1.33955576e-04	1.06563777e+00	-4.75214148e-01	-2.37473119e-01	-2.37741030e-01
50.02           	1.32667295e-04	1.06570799e+00	-4.75798410e-01	-2.37766537e-01	-2.38031872e-01
50.022          	1.31494410e-04	1.06554186e+00	-4.76556690e-01	-2.38146850e-01	-2.38409839e-01
50.024          	1.30526340e-04	1.06572913e+00	-4.77556441e-01	-2.38647694e-01	-2.38908747e-01
50.026          	1.29550766e-04	1.06602304e+00	-4.78421388e-01	-2.39081143e-01	-2.39340245e-01
50.028          	1.29122990e-04	1.06635879e+00	-4.79582739e-01	-2.39662246e-01	-2.39920492e-01
50.03           	1.28711298e-04	1.06645733e+00	-4.80538731e-01	-2.40140654e-01	-2.40398077e-01
50.032          	1.27685496e-04	1.06660690e+00	-4.81054339e-01	-2.40399484e-01	-2.40654855e-01
50.034          	1.26330877e-04	1.06676859e+00	-4.81703777e-01	-2.40725558e-01	-2.40978220e-01
50.036          	1.24666187e-04	1.06699266e+00	-4.82437670e-01	-2.41094169e-01	-2.41343501e-01
50.038          	1.22932280e-04	1.06738089e+00	-4.82959301e-01	-2.41356718e-01	-2.41602583e-01
50.04           	1.20855418e-04	1.06748162e+00	-4.83673622e-01	-2.41715955e-01	-2.41957666e-01
50.042          	1.19287630e-04	1.06751584e+00	-4.84415106e-01	-2.42088265e-01	-2.42326841e-01
50.044          	1.18246525e-04	1.06758289e+00	-4.85002159e-01	-2.42382833e-01	-2.42619326e-01
50.046          	1.17463424e-04	1.06778100e+00	-4.85533338e-01	-2.42649205e-01	-2.42884132e-01
50.048          	1.16595186e-04	1.06792812e+00	-4.86584088e-01	-2.43175449e-01	-2.43408639e-01
50.05           	1.16269088e-04	1.06780751e+00	-4.87331125e-01	-2.43549293e-01	-2.43781832e-01
50.052          	1.16592796e-04	1.06797752e+00	-4.88274252e-01	-2.44020533e-01	-2.44253719e-01
50.054          	1.16728238e-04	1.06844117e+00	-4.89025799e-01	-2.44396171e-01	-2.44629628e-01
50.056          	1.16756750e-04	1.06835645e+00	-4.89716354e-01	-2.44741420e-01	-2.44974934e-01
50.058          	1.16431399e-04	1.06854900e+00	-4.90403006e-01	-2.45085072e-01	-2.45317935e-01
50.06           	1.15971687e-04	1.06862262e+00	-4.91190179e-01	-2.45479118e-01	-2.45711061e-01
50.062          	1.15246827e-04	1.06892663e+00	-4.91970800e-01	-2.45870153e-01	-2.46100647e-01
50.064          	1.14482997e-04	1.06904408e+00	-4.92469732e-01	-2.46120383e-01	-2.46349349e-01
50.066          	1.13731987e-04	1.06910364e+00	-4.92912776e-01	-2.46342656e-01	-2.46570120e-01
50.068          	1.12994309e-04	1.06915828e+00	-4.93838871e-01	-2.46806441e-01	-2.47032430e-01
50.07           	1.12431098e-04	1.06914895e+00	-4.94582798e-01	-2.47178968e-01	-2.47403830e-01
50.072          	1.11322943e-04	1.06940487e+00	-4.95078920e-01	-2.47428137e-01	-2.47650783e-01
50.074          	1.10017222e-04	1.06950051e+00	-4.95917511e-01	-2.47848738e-01	-2.48068773e-01
50.076          	1.09057772e-04	1.06957355e+00	-4.96527914e-01	-2.48154899e-01	-2.48373015e-01
50.078          	1.07916195e-04	1.06967279e+00	-4.97469688e-01	-2.48626928e-01	-2.48842760e-01
50.08           	1.06752949e-04	1.06987543e+00	-4.98524090e-01	-2.49155292e-01	-2.49368798e-01
50.082          	1.06430215e-04	1.06984104e+00	-4.99307043e-01	-2.49547091e-01	-2.49759952e-01
50.084          	1.05958709e-04	1.06984236e+00	-4.99817835e-01	-2.49802959e-01	-2.50014876e-01
50.086          	1.05324343e-04	1.06980539e+00	-5.00474385e-01	-2.50131868e-01	-2.50342517e-01
50.088          	1.05368205e-04	1.06979620e+00	-5.00858358e-01	-2.50323811e-01	-2.50534547e-01
50.09           	1.05444889e-04	1.07000570e+00	-5.01628307e-01	-2.50708709e-01	-2.50919599e-01
50.092          	1.05385326e-04	1.07004823e+00	-5.02305397e-01	-2.51047313e-01	-2.51258084e-01
50.094          	1.04963682e-04	1.07000559e+00	-5.03056231e-01	-2.51423152e-01	-2.51633079e-01
50.096          	1.04398366e-04	1.07020496e+00	-5.03558885e-01	-2.51675044e-01	-2.51883841e-01
50.098          	1.03796016e-04	1.07039536e+00	-5.04350723e-01	-2.52071565e-01	-2.52279157e-01
50.1            	1.02839730e-04	1.07042180e+00	-5.05015685e-01	-2.52405003e-01	-2.52610682e-01
50.102          	1.01605370e-04	1.07091229e+00	-5.05759830e-01	-2.52778310e-01	-2.52981520e-01
50.104          	1.00589120e-04	1.07075388e+00	-5.06591957e-01	-2.53195389e-01	-2.53396567e-01
50.106          	9.94983331e-05	1.07087146e+00	-5.07463931e-01	-2.53632467e-01	-2.53831464e-01
50.108          	9.82279780e-05	1.07073060e+00	-5.08099809e-01	-2.53951677e-01	-2.54148133e-01
50.11           	9.70593699e-05	1.07098919e+00	-5.08718795e-01	-2.54262338e-01	-2.54456457e-01
50.112          	9.61152331e-05	1.07100543e+00	-5.09598111e-01	-2.54702940e-01	-2.54895171e-01
50.114          	9.48859511e-05	1.07094516e+00	-5.10386180e-01	-2.55098204e-01	-2.55287976e-01
50.116          	9.35674639e-05	1.07099874e+00	-5.10846013e-01	-2.55329439e-01	-2.55516574e-01
50.118          	9.29303662e-05	1.07126782e+00	-5.11712997e-01	-2.55763568e-01	-2.55949429e-01
50.12           	9.27380779e-05	1.07139338e+00	-5.12326359e-01	-2.56070441e-01	-2.56255917e-01
50.122          	9.31396349e-05	1.07169437e+00	-5.12970522e-01	-2.56392121e-01	-2.56578400e-01
50.124          	9.40151037e-05	1.07155649e+00	-5.13737517e-01	-2.56774743e-01	-2.56962773e-01
