UMean:0	Points:0
0	0
0	0.019997
0	0.039993
0	0.05999
0	0.079987
0	0.099984
0	0.11998
0	0.13998
0	0.15997
0	0.17997
0	0.19997
0	0.21996
0	0.23996
0	0.25996
0	0.27995
0	0.29995
0	0.31995
0	0.33994
0	0.35994
0	0.37994
0	0.39994
0	0.41993
0	0.43993
0	0.45993
0	0.47992
0.0004049	0.49992
-0.027432	0.51992
-0.059278	0.53991
-0.08631	0.55991
-0.11296	0.57991
-0.13632	0.5999
-0.15632	0.6199
-0.17205	0.6399
-0.18311	0.65989
-0.19431	0.67989
-0.20288	0.69989
-0.20752	0.71988
-0.21109	0.73988
-0.20665	0.75988
-0.2039	0.77987
-0.19718	0.79987
-0.19526	0.81987
-0.1927	0.83986
-0.18655	0.85986
-0.18037	0.87986
-0.17249	0.89985
-0.16459	0.91985
-0.15192	0.93985
-0.13921	0.95984
-0.12442	0.97984
-0.1096	0.99984
-0.095136	1.0198
-0.080673	1.0398
-0.066668	1.0598
-0.052668	1.0798
-0.038168	1.0998
-0.023664	1.1198
-0.0065722	1.1398
0.010545	1.1598
0.027971	1.1798
0.0454	1.1998
0.061688	1.2198
0.077963	1.2398
0.1032	1.2598
0.12853	1.2798
0.13421	1.2998
0.13966	1.3198
0.14512	1.3398
0.15058	1.3598
0.16631	1.3798
0.18216	1.3998
0.19801	1.4198
0.21386	1.4398
0.22582	1.4598
0.23774	1.4798
0.24965	1.4998
0.26157	1.5198
0.27214	1.5397
0.28269	1.5597
0.29324	1.5797
0.3038	1.5997
0.31478	1.6197
0.32576	1.6397
0.33675	1.6597
0.34773	1.6797
0.35779	1.6997
0.36784	1.7197
0.37788	1.7397
0.38793	1.7597
0.39561	1.7797
0.40326	1.7997
0.41091	1.8197
0.41856	1.8397
0.42487	1.8597
0.43117	1.8797
0.43746	1.8997
0.44375	1.9197
0.45035	1.9397
0.45695	1.9597
0.46355	1.9797
0.47015	1.9997
0.47655	2.0197
0.48294	2.0397
0.48934	2.0597
0.49573	2.0797
0.50097	2.0997
0.50619	2.1197
0.51141	2.1397
0.51664	2.1596
0.52143	2.1796
0.52621	2.1996
0.53099	2.2196
0.53577	2.2396
0.54011	2.2596
0.54444	2.2796
0.54877	2.2996
0.5531	2.3196
0.55744	2.3396
0.56178	2.3596
0.56612	2.3796
0.57046	2.3996
0.57472	2.4196
0.57897	2.4396
0.58323	2.4596
0.58748	2.4796
0.5907	2.4996
0.59389	2.5196
0.59709	2.5396
0.60028	2.5596
0.60275	2.5796
0.6052	2.5996
0.60765	2.6196
0.6101	2.6396
0.61313	2.6596
0.61617	2.6796
0.61921	2.6996
0.62225	2.7196
0.62554	2.7396
0.62883	2.7596
0.63212	2.7795
0.63542	2.7995
0.63817	2.8195
0.64091	2.8395
0.64364	2.8595
0.64638	2.8795
0.64798	2.8995
0.64955	2.9195
0.65112	2.9395
0.65269	2.9595
0.65328	2.9795
0.65384	2.9995
0.65441	3.0195
0.65497	3.0395
0.65503	3.0595
0.65507	3.0795
0.65512	3.0995
0.65517	3.1195
0.65918	3.1395
0.6633	3.1595
0.66742	3.1795
0.67154	3.1995
0.67203	3.2195
0.67242	3.2395
0.67281	3.2595
0.67319	3.2795
0.67358	3.2995
0.67397	3.3195
0.67435	3.3395
0.67474	3.3595
0.67485	3.3795
0.67496	3.3994
0.67506	3.4194
0.67516	3.4394
0.67527	3.4594
0.67537	3.4794
0.67547	3.4994
0.67558	3.5194
0.67598	3.5394
0.67638	3.5594
0.67679	3.5794
0.6772	3.5994
0.67761	3.6194
0.67801	3.6394
0.67842	3.6594
0.67883	3.6794
0.67929	3.6994
0.67974	3.7194
0.6802	3.7394
0.68066	3.7594
0.68112	3.7794
0.68158	3.7994
0.68204	3.8194
0.6825	3.8394
0.68309	3.8594
0.68368	3.8794
0.68428	3.8994
0.68487	3.9194
0.68547	3.9394
0.68606	3.9594
0.68666	3.9794
0.68725	3.9994
0.68789	4.0193
0.68853	4.0393
0.68916	4.0593
0.6898	4.0793
0.69044	4.0993
0.69108	4.1193
0.69171	4.1393
0.69235	4.1593
0.693	4.1793
0.69364	4.1993
0.69429	4.2193
0.69493	4.2393
0.69558	4.2593
0.69622	4.2793
0.69686	4.2993
0.69751	4.3193
0.69808	4.3393
0.69866	4.3593
0.69923	4.3793
0.6998	4.3993
0.70037	4.4193
0.70094	4.4393
0.70151	4.4593
0.70209	4.4793
0.70274	4.4993
0.70339	4.5193
0.70404	4.5393
0.70469	4.5593
0.70534	4.5793
0.706	4.5993
0.70665	4.6192
0.7073	4.6392
0.70782	4.6592
0.70834	4.6792
0.70886	4.6992
0.70938	4.7192
0.7099	4.7392
0.71042	4.7592
0.71094	4.7792
0.71146	4.7992
0.71194	4.8192
0.71243	4.8392
0.71291	4.8592
0.7134	4.8792
0.71388	4.8992
0.71436	4.9192
0.71485	4.9392
0.71533	4.9592
0.71572	4.9792
0.71611	4.9992
0.7165	5.0192
0.71688	5.0392
0.71727	5.0592
0.71766	5.0792
0.71805	5.0992
0.71843	5.1192
0.7188	5.1392
0.71916	5.1592
0.71953	5.1792
0.71989	5.1992
0.72026	5.2192
0.72062	5.2391
0.72098	5.2591
0.72135	5.2791
0.72174	5.2991
0.72213	5.3191
0.72253	5.3391
0.72292	5.3591
0.72331	5.3791
0.72371	5.3991
0.7241	5.4191
0.72449	5.4391
0.72475	5.4591
0.725	5.4791
0.72526	5.4991
0.72551	5.5191
0.72576	5.5391
0.72602	5.5591
0.72627	5.5791
0.72652	5.5991
0.72679	5.6191
0.72707	5.6391
0.72734	5.6591
0.72762	5.6791
0.72789	5.6991
0.72817	5.7191
0.72844	5.7391
0.72872	5.7591
0.72901	5.7791
0.7293	5.7991
0.72959	5.8191
0.72988	5.8391
0.73017	5.859
0.73046	5.879
0.73075	5.899
0.73104	5.919
0.73122	5.939
0.7314	5.959
0.73158	5.979
0.73176	5.999
0.73193	6.019
0.73211	6.039
0.73229	6.059
0.73246	6.079
0.73277	6.099
0.73307	6.119
0.73338	6.139
0.73369	6.159
0.73399	6.179
0.7343	6.199
0.73461	6.219
0.73492	6.239
0.7354	6.259
0.7359	6.279
0.7364	6.299
0.7369	6.319
0.7374	6.339
0.7379	6.359
0.7384	6.379
0.7389	6.399
0.73939	6.419
0.73989	6.439
0.74038	6.459
0.74088	6.4789
0.74137	6.4989
0.74187	6.5189
0.74236	6.5389
0.74286	6.5589
0.74331	6.5789
0.74376	6.5989
0.74422	6.6189
0.74467	6.6389
0.74512	6.6589
0.74557	6.6789
0.74603	6.6989
