#      distance         UMean_x         UMean_y         UMean_z
  2.2204609e-16   0.00031311178  -0.00045166886  -0.00029584761
      0.1969697     -0.36314337    -0.035835571   -0.0013526995
     0.39393939      -0.3932639     -0.04155098     0.037838475
     0.59090909     -0.30921048    -0.016092692     0.028357963
     0.78787879      -0.1994714     0.018432664    0.0078669423
     0.98484848    -0.083707083   -0.0020772434   -0.0031647005
      1.1818182     0.042966122    -0.013633542  -0.00065260164
      1.3787879      0.17054528    -0.053773628     0.016758344
      1.5757576      0.24622309    -0.026799466     0.022307556
      1.7727273      0.30639819   -0.0093982641      0.02577004
       1.969697       0.3766401   -0.0046201469      0.03792731
      2.1666667      0.43429408    0.0086247206     0.033081078
      2.3636364      0.48247283    0.0077193861     0.029002046
      2.5606061      0.52482086    0.0054771066     0.017721183
      2.7575758       0.5437903    0.0068325529     0.001997197
      2.9545455      0.56644555     0.011289777    0.0065840271
      3.1515152      0.58499566     0.010709379     0.019223931
      3.3484848      0.60877073    0.0067111235     0.027975487
      3.5454545      0.62281246    0.0010798781     0.027543351
      3.7424242      0.63120462   -0.0063104263     0.028419857
      3.9393939      0.63758097    -0.011435768     0.027611151
      4.1363636      0.64532342    -0.022534237     0.024841045
      4.3333333      0.65583579    -0.027229587     0.018685228
       4.530303      0.66855185    -0.028428484     0.017068918
      4.7272727      0.67479789    -0.029121643     0.020563554
      4.9242424      0.68636448    -0.032887601     0.023310972
      5.1212121      0.70076573    -0.032736541     0.020848792
      5.3181818      0.70547309    -0.031505187       0.0243332
      5.5151515      0.72141722    -0.029582857     0.021119027
      5.7121212      0.73128915    -0.028524443     0.022374737
      5.9090909      0.74496441     -0.02913055     0.020760217
      6.1060606       0.7572015     -0.02901828     0.020607623
      6.3030303      0.76279547    -0.028679319     0.021967854
            6.5      0.77242006     -0.02611372     0.021965072
      6.6969697      0.77352578    -0.025018078     0.023511052
      6.8939394      0.77982068    -0.019287751     0.022405593
      7.0909091      0.77749629    -0.018839005     0.023196986
      7.2878788      0.78469707    -0.013813944      0.02034839
      7.4848485      0.78268676    -0.015943445      0.02008903
      7.6818182      0.78874148    -0.012982137     0.017607506
      7.8787879      0.78754081    -0.015649441     0.016531629
      8.0757576      0.79198012    -0.014661057      0.01569515
      8.2727273      0.79260137    -0.017506802     0.015735135
       8.469697      0.79572714    -0.017889824     0.015707528
      8.6666667      0.80249532     -0.01564067     0.016297253
      8.8636364       0.8032521    -0.017550532     0.016463644
      9.0606061      0.81117854    -0.013274628     0.015347572
      9.2575758        0.809815    -0.014819676     0.015717083
      9.4545455      0.81202389     -0.01289633     0.014973127
      9.6515152      0.81583599   -0.0073930924     0.013751639
      9.8484848      0.81433346   -0.0054422831     0.013635099
      10.045455      0.81954011  -9.7682844e-05     0.012442433
      10.242424      0.81916543    0.0041491587       0.0119979
      10.439394      0.82131125    0.0066260939     0.011420785
      10.636364      0.82879421    0.0095099596     0.010046338
      10.833333      0.82593446    0.0092082717      0.01049746
      11.030303      0.82850042    0.0086306644    0.0099890608
      11.227273      0.83737702    0.0085991636    0.0079863757
      11.424242      0.83561084    0.0060585089    0.0093921565
      11.621212      0.83825945    0.0040451971    0.0096278089
      11.818182      0.84484119    0.0030429496    0.0082498984
      12.015152      0.84253142   0.00098233229     0.011274652
      12.212121      0.84567842   5.0660469e-05     0.011967986
      12.409091      0.85289803  -2.3757122e-05      0.01072265
      12.606061      0.85410115  -9.2342201e-05     0.012793824
       12.80303       0.8563997   0.00086146055     0.012983556
             13      0.86044684     0.001811815     0.012132398
       13.19697      0.86240529    0.0032545384     0.011197943
      13.393939      0.86197241     0.004394469     0.011707534
      13.590909      0.86452078    0.0056668495     0.011022548
      13.787879        0.873653    0.0070542204    0.0077028261
      13.984848      0.87251763    0.0073239695    0.0092418595
      14.181818      0.87466327    0.0079052048     0.008320111
      14.378788      0.87812373    0.0084228976    0.0067553133
      14.575758      0.88031168    0.0082111306    0.0051489947
      14.772727      0.87808207    0.0074641709    0.0059307644
      14.969697      0.88009369    0.0070926911    0.0053874899
      15.166667      0.88612829    0.0068618118    0.0035909727
      15.363636      0.88885233      0.00559608    0.0033787756
      15.560606      0.88908681     0.004618851    0.0038960189
      15.757576      0.89071446    0.0041611625    0.0036699042
      15.954545      0.89474225     0.004603418    0.0020813444
      16.151515      0.89292649    0.0038991729    0.0018147854
      16.348485      0.89156435    0.0033126549    0.0021866838
      16.545455      0.89262439    0.0030651827    0.0022132032
      16.742424      0.89745028    0.0035594381     0.001547344
      16.939394      0.89999133    0.0034853386    0.0013191714
      17.136364       0.8991179    0.0027169607    0.0017370522
      17.333333      0.90076378    0.0027490336    0.0017286326
      17.530303      0.90369369    0.0032753502    0.0015241585
      17.727273      0.90826259    0.0045803523   0.00094284229
      17.924242      0.90548826    0.0035116717    0.0013761567
      18.121212      0.90744184    0.0032581944    0.0013522232
      18.318182      0.90960989    0.0033312358    0.0012924409
      18.515152      0.91616185    0.0042416191   0.00086153742
      18.712121      0.91815947    0.0025639907   0.00091993355
      18.909091      0.91908439    0.0012168884    0.0010845568
      19.106061      0.92079493   0.00088408555    0.0011520847
       19.30303      0.92277394   0.00099554013    0.0011362127
